# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,10H30,2000-2099,4/15/2017,10,1,Theft,"Road, Street, or Sidewalk",LEELAND,-,-
1,10H30,1000-1099,4/15/2017,11,1,Theft,"Road, Street, or Sidewalk",NAGLE,-,-
1,10H30,1700-1799,4/14/2017,20,1,Theft,"Other, Unknown, or Not Listed",LIVE OAK,-,-
1,10H30,2100-2199,4/15/2017,01,1,Theft,"Road, Street, or Sidewalk",CLAY,-,-
1,10H30,2100-2199,4/15/2017,05,1,Theft,"Road, Street, or Sidewalk",CLAY,-,-
1,10H30,2000-2099,4/17/2017,09,1,Theft,Bar or Night Club,LEELAND,-,-
1,10H30,1600-1699,4/16/2017,08,1,Burglary,Restaurant or Cafeteria,DOWLING,-,ST
1,10H30,1500-1599,4/16/2017,10,1,Theft,"Road, Street, or Sidewalk",HUTCHINS,-,-
1,10H30,2100-2199,4/16/2017,14,1,Theft,Miscellaneous Business (Non-Specific),LEELAND,-,-
1,10H30,2000-2099,4/16/2017,13,1,Theft,"Road, Street, or Sidewalk",LAMAR,-,-
1,10H30,2600-2699,4/16/2017,18,1,Theft,"Road, Street, or Sidewalk",JEFFERSON,-,ST
1,10H30,2100-2199,4/20/2017,01,1,Theft,Other Parking Lot,WALKER,-,ST
1,10H30,1500-1599,4/20/2017,09,1,Theft,"Road, Street, or Sidewalk",HUTCHINS,-,-
1,10H30,3400-3499,4/20/2017,18,1,Theft,Residence or House,POLK,-,-
1,10H30,2200-2299,4/3/2017,00,1,Theft,Other Parking Lot,MCKINNEY,-,ST
1,10H30,2100-2199,4/3/2017,12,1,Auto Theft,Apartment Parking Lot,TEXAS,-,ST
1,10H30,900-999,4/1/2017,23,1,Theft,Other Parking Lot,SAINT CHARLES,-,-
1,10H30,1500-1599,4/2/2017,02,1,Theft,Bar or Night Club,SAINT EMANUEL,-,ST
