Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H20,1100-1199,12/12/2017,01,1,Robbery,1,"Road, Street, or Sidewalk",P.O. 924234,-,-
10H20,4000-4099,12/12/2017,19,1,Robbery,1,Department or Discount Store,POLK,-,-
10H20,5100-5199,12/13/2017,21,1,AutoTheft,1,Strip Business Center Parking Lot,LAWNDALE,-,-
10H20,2700-2799,12/13/2017,13,1,Burglary,1,Residence or House,FIELD LINE,-,DR
10H20,5200-5299,12/14/2017,05,1,AutoTheft,1,Driveway,BELL ST,-,ST
10H20,3800-3899,12/14/2017,08,1,Burglary,1,Warehouse,POLK,-,-
10H20,UNK,12/16/2017,23,1,Theft,1,Driveway,RAIDER,-,CIR
10H20,2100-2199,12/18/2017,21,1,Theft,1,Restaurant or Cafeteria Parking Lot,TELEPHONE RD,-,RD
10H20,3800-3899,12/19/2017,13,1,Theft,1,"Factory, Manufacturing, or Industrial",LAMAR,-,-
10H20,2100-2199,12/21/2017,15,1,Theft,1,Other Parking Lot,ERNESTINE ST,-,ST
10H20,4300-4399,12/21/2017,06,1,Theft,1,"Road, Street, or Sidewalk",BELL ST,-,ST
10H20,700-799,12/22/2017,17,1,Theft,1,Restaurant or Cafeteria,TELEPHONE,-,RD
10H20,1100-1199,12/22/2017,18,1,Theft,1,Residence or House,PEARSON,-,-
10H20,1900-1999,12/25/2017,17,1,Theft,1,Construction Site,HUSSION,-,-
10H20,4000-4099,12/26/2017,19,1,Theft,1,Grocery Store or Supermarket,POLK,-,-
10H20,1300-1399,12/30/2017,20,1,Burglary,1,"Electronics Store, Electrical Supplies",CULLEN,-,BLVD
10H20,1000-1099,12/30/2017,21,1,Robbery,1,Grocery Store or Supermarket,TELEPHONE,-,RD
10H20,4000-4099,12/30/2017,15,1,Burglary,1,"Vacant Single Occ Resd(House,Townhs,Dplex)",WALKER ST,-,ST
10H20,1200-1299,12/31/2017,01,1,Theft,1,Driveway,TELEPHONE,-,RD
10H30,600-699,12/01/2017,12,1,Theft,1,Apartment Parking Lot,SAINT EMANUEL ST,-,ST
10H30,800-899,12/02/2017,13,1,Theft,1,Warehouse,SAINT EMANUEL ST,-,ST
10H30,1600-1699,12/02/2017,11,1,Theft,1,Apartment,NAGLE,-,-
10H30,2300-2399,12/02/2017,02,1,Theft,1,"Road, Street, or Sidewalk",BELL ST,-,ST
10H30,12900-12999,12/05/2017,22,1,Theft,1,"Road, Street, or Sidewalk",GRAN BAY W STE 200,-,PKWY
10H30,17000-17099,12/05/2017,00,1,Theft,1,"Road, Street, or Sidewalk",IMPERIAL VALLEY DR APT,-,-
10H30,1500-1599,12/06/2017,16,1,Theft,1,Commercial Parking Lot or Garage,CHARTRES ST,-,ST
10H30,1800-1899,12/06/2017,08,1,Theft,1,Residence or House,SHEARN,-,ST
10H30,400-499,12/08/2017,11,1,Burglary,1,Apartment,DOWLING ST,-,ST
10H30,2100-2199,12/08/2017,08,1,Theft,1,Miscellaneous Business (Non-Specific),WALKER ST,-,ST
10H30,1800-1899,12/08/2017,10,1,Theft,1,Residence or House,SHEARN,-,-
10H30,2100-2199,12/09/2017,20,1,Theft,1,"Road, Street, or Sidewalk",CLAY ST,-,ST
10H30,900-999,12/09/2017,19,1,Robbery,1,"Road, Street, or Sidewalk",TWINBROOKE,-,DR
10H30,200-299,12/10/2017,12,1,Theft,1,"Road, Street, or Sidewalk",EMANCIPATION AVE,-,-
10H30,3400-3499,12/10/2017,15,1,Theft,1,Residence or House,POLK,-,-
10H30,1500-1599,12/10/2017,16,1,Theft,1,Bar or Night Club,SAINT EMANUEL ST,-,ST
10H30,2200-2299,12/11/2017,23,1,Theft,1,"Road, Street, or Sidewalk",MCKINNEY ST,-,ST
10H30,3500-3599,12/11/2017,21,1,Theft,1,Service or Gas Station,GULF,-,FWY
10H30,4800-4899,12/12/2017,20,1,Theft,1,"Road, Street, or Sidewalk",PIN OAK,-,PRK
10H30,1300-1399,12/12/2017,13,1,Theft,1,Residence or House,LIVE OAK,-,-
10H30,2200-2299,12/12/2017,22,1,Theft,1,Other Parking Lot,DALLAS ST,-,ST
