Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H30,2600-2699,08/13/2017,05,1,Burglary,1,Commercial Building,BELL,-,ST
10H30,800-899,08/13/2017,11,1,Theft,1,Warehouse,SAINT EMANUEL ST,-,ST
10H30,2000-2099,08/14/2017,19,1,Theft,1,"Road, Street, or Sidewalk",LAMAR,-,-
10H30,2000-2099,08/15/2017,15,1,Theft,1,Bar or Night Club Parking Lot,LEELAND,-,-
10H30,2400-2499,08/17/2017,14,1,Theft,1,Convenience Store,PEASE ST,-,ST
10H30,8600-8699,08/17/2017,01,1,Theft,1,Vehicle/Auto Sales/Lease/Auto Parts Store,KNOLL FOREST,-,ST
10H30,2100-2199,08/17/2017,09,1,Theft,1,Residence or House,WALKER,-,ST
10H30,1600-1699,08/17/2017,10,1,Theft,1,"Road, Street, or Sidewalk",PO BOX 5126,-,-
10H30,3500-3599,08/18/2017,02,1,Robbery,1,"Road, Street, or Sidewalk",GULF FWY IB,-,-
10H30,1000-1099,08/18/2017,10,1,Theft,1,"Road, Street, or Sidewalk",HUTCHINS ST,-,ST
10H30,19000-19099,08/19/2017,02,1,Theft,1,Bar or Night Club Parking Lot,CLOYANNA,-,LN
10H30,2600-2699,08/19/2017,23,1,Theft,1,"Road, Street, or Sidewalk",MCKINNEY ST,-,ST
10H30,1500-1599,08/20/2017,14,1,Theft,1,"Road, Street, or Sidewalk",SAINT EMANUEL ST,-,ST
10H30,1500-1599,08/21/2017,11,1,Theft,1,Miscellaneous Business (Non-Specific),SAINT EMANUEL ST,-,ST
10H30,800-899,08/23/2017,00,1,Robbery,1,"Road, Street, or Sidewalk",SAMPSON,-,-
10H30,1500-1599,08/24/2017,10,1,Theft,1,Bus Station,SCOTT ST,-,ST
10H30,2900-2999,08/31/2017,10,1,Theft,1,Residence or House,PEASE ST,-,ST
10H30,2800-2899,08/31/2017,12,1,Theft,1,Driveway,POLK,-,-
10H30,2200-2299,08/31/2017,18,1,Theft,1,"Stadium, Sports Arena, Race Track",TEXAS ST,-,ST
10H30,3500-3599,08/31/2017,07,1,AutoTheft,1,Highway or Freeway,S IH 45 FWY OB,-,-
10H40,12800-12899,04/30/2017,08,1,AutoTheft,1,Apartment Parking Lot,BAY CEDAR,-,-
10H40,2300-2399,08/01/2017,10,1,Theft,1,Other Parking Lot,MAIN,-,ST
10H40,3200-3299,08/02/2017,22,1,Theft,1,"Gym, Recreat, Club House, Indoor Pool",LOUISIANA,-,ST
10H40,2100-2199,08/02/2017,13,1,Theft,1,"Other, Unknown, or Not Listed",CRAWFORD ST,-,ST
10H40,2600-2699,08/02/2017,13,1,Theft,1,Restaurant or Cafeteria Parking Lot,SAN JACINTO ST,-,ST
10H40,4500-4599,08/02/2017,14,1,Theft,1,Light Rail (Metro Rail) Vehicle,MAIN ST,-,ST
10H40,3000-3099,08/03/2017,08,1,Theft,1,Bar or Night Club Parking Lot,CAROLINE ST,-,ST
10H40,2600-2699,08/03/2017,14,1,Theft,1,Other Parking Lot,MAIN ST,-,ST
10H40,2700-2799,08/03/2017,14,1,Theft,1,"Road, Street, or Sidewalk",LOUISIANA,-,ST
10H40,10900-10999,08/03/2017,15,1,Theft,1,Grocery Store or Supermarket,GULF,-,FWY
10H40,1000-1099,08/03/2017,15,1,Robbery,1,Grocery Store or Supermarket,ELGIN,-,ST
10H40,2300-2399,08/04/2017,22,1,Theft,1,Bar or Night Club Parking Lot,MAIN ST,-,ST
10H40,1700-1799,08/04/2017,23,1,Theft,1,Other Parking Lot,ALABAMA ST,-,ST
10H40,3400-3499,08/04/2017,12,1,Theft,2,Restaurant or Cafeteria Parking Lot,MILAM,-,-
10H40,20900-20999,08/04/2017,20,1,Theft,1,Restaurant or Cafeteria Parking Lot,MEADOWHILL DRIVE,-,-
10H40,2400-2499,08/05/2017,02,1,Theft,1,"Road, Street, or Sidewalk",YORKTOWN,-,-
10H40,2100-2199,08/05/2017,09,1,Theft,1,Bus Station,FANNIN ST,-,ST
10H40,700-799,08/05/2017,10,1,Theft,1,"Road, Street, or Sidewalk",HADLEY ST,-,ST
10H40,1500-1599,08/05/2017,19,1,Theft,1,"Road, Street, or Sidewalk",ALABAMA ST,-,ST
10H40,4200-4299,08/05/2017,17,1,Theft,1,Grocery Store or Supermarket,SAN JACINTO ST,-,ST
10H40,4500-4599,08/05/2017,13,1,Robbery,1,Grocery Store or Supermarket,TRAVIS,-,ST
10H40,13900-13999,08/06/2017,22,1,Theft,1,Vacant Other Out Build/Monument/UnderConst,ALDERSON ST APT 102,-,-
10H40,600-699,08/07/2017,11,1,Theft,1,Grocery Store or Supermarket,NEST,-,ST
10H40,2200-2299,08/08/2017,12,1,Theft,1,"Gym, Recreat, Club House, Indoor Pool",FANNIN ST,-,ST
10H40,3200-3299,08/08/2017,23,1,Theft,1,Other Parking Lot,LOUISIANA ST,-,ST
10H40,700-799,08/08/2017,23,1,Theft,1,"Road, Street, or Sidewalk",STUART,-,-
10H40,2000-2099,08/08/2017,15,1,Robbery,1,"Road, Street, or Sidewalk",MAIN ST,-,ST
10H40,9900-9999,08/09/2017,00,1,Theft,1,"Road, Street, or Sidewalk",BUFFALO SPEEDWAY,-,-
10H40,1700-1799,08/09/2017,12,1,Theft,1,Other Parking Lot,WINBERN,-,-
10H40,3100-3199,08/09/2017,09,1,Theft,1,"Road, Street, or Sidewalk",MILAM,-,-
10H40,2500-2599,08/09/2017,16,1,AutoTheft,1,Other Parking Lot,MAIN ST,-,ST
10H40,3100-3199,08/10/2017,03,1,Theft,1,Other Parking Lot,FANNIN ST,-,ST
10H40,2300-2399,08/10/2017,22,1,Theft,1,"Road, Street, or Sidewalk",TRAVIS ST,-,ST
10H40,1000-1099,08/10/2017,18,1,Theft,1,Commercial Parking Lot or Garage,ELGIN ST,-,ST
10H40,5000-5099,08/11/2017,23,1,Theft,1,"Road, Street, or Sidewalk",BAYOU VISTA,-,DR
10H40,1900-1999,08/11/2017,19,1,Theft,1,"Road, Street, or Sidewalk",E. MARTIN LUTHER KING JR.,-,-
10H40,600-699,08/11/2017,10,1,Theft,1,Grocery Store or Supermarket Parking Lot,ENID,-,-
10H40,2600-2699,08/11/2017,13,1,Theft,1,Strip Business Center Parking Lot,MILAM,-,-
10H40,13400-13499,08/11/2017,15,1,Theft,1,Restaurant or Cafeteria,GESSNER,S,RD
10H40,1100-1199,08/12/2017,01,1,Theft,1,"Road, Street, or Sidewalk",MARCELLA,-,ST
10H40,3600-3699,08/12/2017,07,1,Burglary,1,Restaurant or Cafeteria,MAIN,-,ST
10H40,1500-1599,08/12/2017,23,1,Theft,1,Bar or Night Club,ALABAMA ST,-,ST
10H40,800-899,08/12/2017,23,1,Theft,1,"Road, Street, or Sidewalk",BERRY ST,-,ST
10H40,11500-11599,08/13/2017,02,1,Theft,1,"Road, Street, or Sidewalk",29TH,-,ST
10H40,800-899,08/13/2017,08,1,Theft,1,"Road, Street, or Sidewalk",GRAY ST,-,ST
10H40,2900-2999,08/13/2017,18,1,Theft,1,"Road, Street, or Sidewalk",TRAVIS ST,-,ST
10H40,2100-2199,08/14/2017,13,1,Theft,1,Service or Gas Station,FANNIN ST,-,ST
10H40,2600-2699,08/15/2017,15,1,Theft,1,Restaurant or Cafeteria Parking Lot,SAN JACINTO ST,-,ST
10H40,1300-1399,08/15/2017,13,1,Theft,1,Other Parking Lot,GRAY ST,-,ST
10H40,700-799,08/15/2017,14,1,Theft,1,"Road, Street, or Sidewalk",CHARLESTON HEIGHTS,-,LN
10H40,2700-2799,08/15/2017,19,1,Theft,1,Strip Business Center Parking Lot,LAKESIDE,-,DR
10H40,2100-2199,08/15/2017,12,1,Robbery,1,"Road, Street, or Sidewalk",MAIN ST,-,ST
10H40,2100-2199,08/15/2017,12,1,Theft,1,Auto Repair,LOUISIANA ST,-,ST
10H40,1300-1399,08/15/2017,23,1,Robbery,1,"Road, Street, or Sidewalk",HOLMAN,-,-
10H40,10900-10999,08/16/2017,09,1,Theft,1,Residence or House,SHAWNBROOK,-,DR
10H40,4200-4299,08/16/2017,13,1,Theft,1,Department or Discount Store,MAIN ST,-,ST
10H40,1400-1499,08/16/2017,14,1,Theft,1,Other Parking Lot,ALABAMA ST,-,ST
10H40,4200-4299,08/16/2017,15,1,Theft,1,Department or Discount Store,HOMELESS,-,-
10H40,9900-9999,08/16/2017,19,1,Robbery,1,Convenience Store Parking Lot,TOWN PARK,-,DR
10H40,2100-2199,08/17/2017,22,1,Robbery,1,"Road, Street, or Sidewalk",HOMELESS,-,-
10H40,400-499,08/17/2017,08,1,Robbery,1,"Road, Street, or Sidewalk",RICHMOND AVE,-,-
10H40,800-899,08/17/2017,13,1,Theft,1,"Road, Street, or Sidewalk",ANITA ST,-,ST
10H40,3700-3799,08/18/2017,00,1,Theft,1,"Road, Street, or Sidewalk",LA BRANCH,-,-
10H40,700-799,08/18/2017,08,1,AutoTheft,1,"Road, Street, or Sidewalk",TUAM,-,-
10H40,2500-2599,08/18/2017,09,1,Theft,1,Residence or House,MILAM,-,-
10H40,3800-3899,08/18/2017,08,1,Theft,1,"Road, Street, or Sidewalk",ALMEDA RD,-,RD
10H40,1200-1299,08/18/2017,12,1,Burglary,1,Miscellaneous Business (Non-Specific),ELGIN,-,ST
10H40,1000-1099,08/18/2017,14,1,Theft,1,"Road, Street, or Sidewalk",TRUXILLO,-,-
10H40,5200-5299,08/18/2017,14,1,Burglary,1,Apartment,FAIRGREEN,-,-
10H40,3700-3799,08/18/2017,15,1,Theft,1,"Church, Synagogue, or Temple Parking Lot",MAIN ST,-,ST
10H40,4400-4499,08/18/2017,15,1,Theft,1,Light Rail (Metro Rail) Vehicle,FANNIN ST,-,ST
10H40,7800-7899,08/19/2017,02,1,Theft,1,"Road, Street, or Sidewalk",GALLEON FIELD,-,LN
10H40,1700-1799,08/19/2017,04,1,Theft,1,Residence or House,HOLMAN,-,-
10H40,2100-2199,08/20/2017,13,1,Theft,1,"Road, Street, or Sidewalk",MAIN ST,-,ST
10H40,3800-3899,08/20/2017,03,1,Robbery,1,"Road, Street, or Sidewalk",FANNIN,-,-
10H40,2200-2299,08/21/2017,08,1,Robbery,1,Bar or Night Club,MAIN ST,-,ST
10H40,900-999,08/22/2017,05,1,Robbery,1,Miscellaneous Business (Non-Specific),ALABAMA ST,-,ST
10H40,4200-4299,08/22/2017,10,1,Theft,1,Department or Discount Store,MAIN,-,ST
10H40,1500-1599,08/22/2017,13,1,Robbery,1,"Road, Street, or Sidewalk",BLALOCK,-,RD
10H40,1100-1199,08/22/2017,14,1,Theft,1,Commercial Parking Lot or Garage,TEXAS,-,AVE
10H40,4600-4699,08/22/2017,20,1,Theft,1,Apartment,MAIN,-,ST
10H40,2200-2299,08/22/2017,23,1,Theft,1,Grocery Store or Supermarket Parking Lot,LOUISIANA ST,-,ST
10H40,UNK,08/22/2017,23,1,Theft,1,"Road, Street, or Sidewalk",HAPPY HOLLOW,-,-
10H40,2700-2799,08/22/2017,15,1,Theft,1,Apartment Parking Lot,TRAVIS ST,-,ST
10H40,2900-2999,08/23/2017,07,1,Theft,1,Driveway,JACKSON ST,-,ST
10H40,2800-2899,08/23/2017,12,1,Theft,1,Restaurant or Cafeteria Parking Lot,CAROLINE ST,-,ST
10H40,8600-8699,08/24/2017,02,1,Theft,1,"Road, Street, or Sidewalk",VALLEY SONG DRIVE,-,-
10H40,8400-8499,08/24/2017,22,1,Theft,1,"Road, Street, or Sidewalk",BELLARIE BLVD.,-,-
10H40,6300-6399,08/24/2017,20,1,Theft,1,"Road, Street, or Sidewalk",PENHALLOW,-,LN
10H40,3500-3599,08/25/2017,01,1,Theft,1,"Road, Street, or Sidewalk",TRAVIS ST,-,ST
10H40,2500-2599,08/25/2017,03,1,Theft,1,"Road, Street, or Sidewalk",FANNIN ST,-,ST
10H40,1100-1199,08/25/2017,08,1,Burglary,1,Miscellaneous Business (Non-Specific),HOLMAN,-,-
10H40,2700-2799,08/25/2017,11,1,Theft,1,"Other, Unknown, or Not Listed",CAROLINE ST,-,ST
10H40,3200-3299,08/25/2017,12,1,Theft,1,"Gym, Recreat, Club House, Indoor Pool",LOUISIANA ST,-,ST
10H40,3200-3299,08/26/2017,08,1,Theft,1,Commercial Parking Lot or Garage,LOUISIANA ST,-,ST
10H40,3500-3599,08/26/2017,19,1,Burglary,1,Residence or House,CHENEVERT ST,-,ST
10H40,3200-3299,08/26/2017,17,1,Theft,1,"Gym, Recreat, Club House, Indoor Pool",LOUISIANA ST,-,ST
10H40,2000-2099,08/28/2017,09,1,Robbery,1,"Road, Street, or Sidewalk",MAIN ST,-,ST
10H40,8600-8699,08/29/2017,06,1,AutoTheft,1,Commercial Parking Lot or Garage,MEMORIAL,-,DR
10H40,1500-1599,08/29/2017,14,1,Burglary,1,"Multi-Plex Home (Duplex,Triplex Etc.)",ISABELLA,-,-
10H40,3300-3399,08/30/2017,12,1,Burglary,1,Office Building,MAIN ST,-,ST
10H40,3300-3399,08/31/2017,10,1,Robbery,1,"Road, Street, or Sidewalk",AUSTIN ST,-,ST
10H50,3500-3599,08/01/2017,14,1,Theft,1,Service or Gas Station,ELGIN ST,-,ST
10H50,2800-2899,08/01/2017,15,1,AutoTheft,1,Residence or House,BERRY ST,-,ST
10H50,3200-3299,08/02/2017,07,1,Theft,1,Apartment Parking Lot,TRUXILLO,-,-
10H50,2600-2699,08/02/2017,20,1,AutoTheft,1,Miscellaneous Business (Non-Specific),ALABAMA ST,-,ST
10H50,3000-3099,08/03/2017,09,1,Robbery,1,"Road, Street, or Sidewalk",EMANCIPATION AVE,-,-
10H50,3400-3499,08/04/2017,13,1,Robbery,1,Bus Station,MCGOWEN ST,-,ST
10H50,3000-3099,08/04/2017,13,1,Burglary,1,Residence or House,NAGLE,-,-
10H50,2500-2599,08/04/2017,09,1,Robbery,1,"Road, Street, or Sidewalk",ELGIN ST,-,ST
10H50,3700-3799,08/04/2017,06,1,Theft,1,Restaurant or Cafeteria Parking Lot,EMANCIPATION AVE,-,-
10H50,2300-2399,08/06/2017,21,1,Burglary,1,"Vacant Single Occ Resd(House,Townhs,Dplex)",TRUXILLO,-,-
