Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H60,6400-6499,10/04/2017,13,1,Theft,1,Apartment Parking Lot,DEL RIO ST,-,ST
10H60,2400-2499,10/04/2017,10,1,Theft,1,Residence or House,RUTH,-,-
10H60,3000-3099,10/04/2017,10,1,Theft,1,Residence or House,OAKDALE,-,-
10H60,2500-2599,10/05/2017,15,1,Burglary,1,Residence or House,WICHITA,-,ST
10H60,4300-4399,10/05/2017,11,1,Burglary,1,Residence or House,MACGREGOR WAY,-,-
10H60,3600-3699,10/05/2017,12,1,Theft,1,Hospital,N. MACGREGOR WAY,-,-
10H60,4400-4499,10/07/2017,22,1,Theft,1,Apartment,N MACGREGOR WAY,-,-
10H60,2500-2599,10/07/2017,14,1,AutoTheft,1,"Road, Street, or Sidewalk",WHEELER ST,-,ST
10H60,4300-4399,10/07/2017,15,1,Burglary,1,Residence or House,CHARLESTON,-,-
10H60,5800-5899,10/08/2017,01,1,AutoTheft,1,"Road, Street, or Sidewalk",SCOTT ST,-,ST
10H60,6600-6699,10/09/2017,03,1,Robbery,1,"Road, Street, or Sidewalk",BOWLING GREEN ST,-,ST
10H60,3500-3599,10/10/2017,20,1,Theft,1,Apartment,DIXIE DR,-,-
10H60,3300-3399,10/10/2017,14,1,Theft,1,Residence or House,ROSEDALE,-,ST
10H60,2700-2799,10/11/2017,11,1,Burglary,1,Residence or House,RUTH,-,-
10H60,3500-3599,10/13/2017,02,1,Theft,1,Apartment Parking Lot,DIXIE DR,-,-
10H60,3400-3499,10/13/2017,07,1,Theft,1,"Road, Street, or Sidewalk",TAMPA STREET,-,-
10H60,3300-3399,10/13/2017,08,1,Theft,1,"Road, Street, or Sidewalk",KELTON,-,-
10H60,3300-3399,10/13/2017,08,1,Theft,1,"Road, Street, or Sidewalk",KILGORE,-,ST
10H60,2400-2499,10/14/2017,08,1,Theft,1,"Road, Street, or Sidewalk",ROSEDALE,-,-
10H60,2200-2299,10/14/2017,08,1,AutoTheft,1,"Road, Street, or Sidewalk",BLODGETT ST,-,ST
10H60,4600-4699,10/14/2017,11,1,Theft,1,Car Wash,ROSENEATH,N,-
10H60,5500-5599,10/14/2017,12,1,Robbery,1,Apartment Parking Lot,SAMPSON,-,-
10H60,2900-2999,10/15/2017,09,1,Theft,1,"Road, Street, or Sidewalk",ROSEWOOD,-,-
