Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H30,2300-2399,06/04/2017,18,1,Theft,1,Apartment Parking Lot,POLK,-,-
10H30,900-999,06/04/2017,20,1,Theft,1,"Road, Street, or Sidewalk",MCKINNEY PARK LN,-,-
10H30,2200-2299,06/05/2017,07,1,Theft,1,Apartment Parking Lot,MCKINNEY ST,-,ST
10H30,2300-2399,06/05/2017,10,1,Theft,1,Apartment Parking Lot,POLK,-,-
10H30,2100-2199,06/05/2017,10,1,Theft,1,"Road, Street, or Sidewalk",LAMAR,-,-
10H30,10200-10299,06/05/2017,13,1,AutoTheft,1,Construction Site,SYNOTT,-,-
10H30,400-499,06/05/2017,20,1,Theft,1,Bus Stop,DOWLING ST,-,ST
10H30,2400-2499,06/06/2017,09,1,Theft,1,Apartment Parking Lot,CAPITOL STREET,-,-
10H30,3500-3599,06/07/2017,11,1,Theft,1,Convenience Store,GULF,-,FWY
10H30,2100-2199,06/07/2017,01,1,Burglary,1,Restaurant or Cafeteria,JEFFERSON,-,ST
10H30,400-499,06/08/2017,18,1,Theft,1,Other Parking Lot,BASTROP ST,-,ST
10H30,7300-7399,06/08/2017,18,1,Theft,1,Other Parking Lot,BROCKLEY,-,LN
10H30,2000-2099,06/08/2017,08,1,AutoTheft,1,Bar or Night Club Parking Lot,WALKER ST,-,ST
10H30,1000-1099,06/08/2017,09,1,Burglary,1,Residence or House,LIVE OAK,-,-
10H30,2000-2099,06/09/2017,17,1,AutoTheft,1,Commercial Parking Lot or Garage,2,-,ST
10H30,2000-2099,06/10/2017,17,1,Theft,1,Government or Public Building,CONGRESS,-,-
10H30,2200-2299,06/10/2017,11,1,Theft,1,"Road, Street, or Sidewalk",CLAY,-,-
10H30,800-899,06/10/2017,09,1,Theft,1,Driveway,SAINT EMANUEL ST,-,ST
10H30,1500-1599,06/10/2017,09,1,Theft,1,"Road, Street, or Sidewalk",SAINT EMANUEL ST,-,ST
10H30,1700-1799,06/10/2017,02,1,Theft,1,"Road, Street, or Sidewalk",HUTCHINS,-,-
10H30,2300-2399,06/10/2017,08,1,Theft,1,Commercial Parking Lot or Garage,PARANA,-,-
10H30,2400-2499,06/11/2017,09,1,Theft,1,Apartment,CAPITOL ST,-,ST
10H30,8100-8199,06/12/2017,22,1,Theft,1,"Road, Street, or Sidewalk",FOX,-,ST
10H30,2000-2099,06/12/2017,16,1,Theft,1,Commercial Parking Lot or Garage,FRANKLIN ST,-,ST
10H30,1400-1499,06/12/2017,10,1,Theft,1,"Road, Street, or Sidewalk",HUTCHINS,-,-
10H30,3500-3599,06/12/2017,12,1,Theft,1,Service or Gas Station,GULF,-,FWY
10H30,200-299,06/14/2017,20,1,Theft,1,Commercial Parking Lot or Garage,CHARTRES ST,-,ST
10H30,2000-2099,06/14/2017,00,1,Theft,1,"Road, Street, or Sidewalk",MCKINNEY ST,-,ST
10H30,2200-2299,06/14/2017,11,1,AutoTheft,1,Commercial Parking Lot or Garage,WALKER ST,-,ST
10H30,12500-12599,06/14/2017,18,1,Theft,1,Bar or Night Club,GOTHAM,-,DR
10H30,2100-2199,06/15/2017,19,1,Theft,1,"Road, Street, or Sidewalk",POLK,-,-
10H30,2100-2199,06/16/2017,17,1,AutoTheft,1,"Road, Street, or Sidewalk",ELGIN,-,-
10H30,600-699,06/19/2017,14,1,Theft,1,Commercial Parking Lot or Garage,SAINT EMANUEL ST,-,ST
10H30,2300-2399,06/19/2017,09,1,Theft,1,"Road, Street, or Sidewalk",WALKER,-,ST
10H30,2100-2199,06/19/2017,15,1,Burglary,1,Apartment,CAPITOL ST,-,ST
10H30,1600-1699,06/20/2017,07,1,AutoTheft,1,"Road, Street, or Sidewalk",BASTROP ST,-,ST
10H30,3100-3199,06/20/2017,07,1,Theft,1,Residence or House,BELL ST,-,ST
10H30,2900-2999,06/22/2017,10,1,Theft,1,Other Parking Lot,DALLAS,-,ST
10H30,2600-2699,06/23/2017,02,1,Theft,1,Commercial Parking Lot or Garage,WESTHOLLOW DR APT 2520,-,-
10H30,2000-2099,06/23/2017,02,1,Theft,1,"Road, Street, or Sidewalk",BELL ST,-,ST
10H30,1500-1599,06/23/2017,06,1,Theft,1,"Road, Street, or Sidewalk",PALMER ST,-,ST
10H30,1700-1799,06/23/2017,16,1,Theft,1,Residence or House,SCARBOROUGH,-,LN
10H30,1500-1599,06/23/2017,10,1,Theft,1,Bar or Night Club Parking Lot,SAINT EMANUEL ST,-,ST
10H30,2000-2099,06/23/2017,11,1,Theft,1,Restaurant or Cafeteria,COMMERCE,-,ST
10H30,1500-1599,06/24/2017,08,1,Theft,1,Bar or Night Club Parking Lot,SAINT EMANUEL ST,-,ST
10H30,3500-3599,06/24/2017,21,1,Robbery,1,Convenience Store,PO BOX,-,-
10H30,2200-2299,06/25/2017,03,1,Theft,1,Other Parking Lot,LEELAND,-,-
