2017,Number of Records,UCR Crime Counts
161,1,Homicide
1142,1,Rape (Definition Change in 2014)
3293,1,Robbery
7919,1,Aggravated Assault (Definition Change in 2016)
12801,1,Burglary
39899,1,Theft-Larceny
7653,1,Motor Vehicle Theft
190,1,Arson
