# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,12D10,100-199,1/13/2017,17,1,Theft,Strip Business Center Parking Lot,EDGEBROOK,E,DR
1,12D10,1300-1399,1/13/2017,18,1,Theft,Driveway,ROPER,-,ST
1,12D10,9400-9499,1/13/2017,10,1,Theft,Apartment Parking Lot,CLEARWOOD,-,ST
1,12D10,8900-8999,1/13/2017,13,1,Burglary,Residence or House,EDGEBROOK,-,DR
1,12D10,100-199,1/12/2017,20,1,Auto Theft,Mall Parking Lot,ALMEDA MALL,-,-
1,12D10,1100-1199,1/12/2017,21,1,Theft,"Factory, Manufacturing, or Industrial",EDGEBROOK,-,DR
1,12D10,10400-10499,1/12/2017,18,1,Theft,Miscellaneous Business (Non-Specific),GULF,-,FWY
1,12D10,1100-1199,1/12/2017,18,1,Theft,Restaurant or Cafeteria Parking Lot,EDGEBROOK,-,DR
1,12D10,10000-10099,1/12/2017,19,1,Theft,"Furniture, Appliances, Radios, TV Store",ALMEDA GENOA,-,RD
1,12D10,10100-10199,1/12/2017,19,1,Theft,Strip Business Center Parking Lot,ALMEDA GENOA,-,RD
1,12D10,1200-1299,1/11/2017,22,1,Robbery,Apartment,REDFORD,-,-
1,12D10,10900-10999,1/12/2017,00,1,Robbery,,GULF,-,FWY
1,12D10,11500-11599,1/11/2017,22,1,Theft,"Gym, Recreat, Club House, Indoor Pool, Spa",GULF,-,FWY
1,12D10,10400-10499,1/11/2017,18,1,Theft,Strip Business Center Parking Lot,GULF,-,FWY
1,12D10,10100-10199,1/11/2017,17,1,Theft,Car Wash,ALMEDA GENOA,-,RD
1,12D10,400-499,1/11/2017,20,1,Theft,Grocery Store or Supermarket,EDGEBROOK,-,DR
1,12D10,10100-10199,1/12/2017,13,1,Theft,Driveway,BLUE POINT JUNIPER,-,DR
1,12D10,9800-9899,1/12/2017,14,1,Theft,Grocery Store or Supermarket,BLACKHAWK,-,BLVD
1,12D10,9400-9499,1/12/2017,11,1,Auto Theft,Apartment Parking Lot,CLEARWOOD,-,ST
1,12D10,8100-8199,11/6/2016,12,1,Auto Theft,"Other, Unknown, or Not Listed",MONROE,-,RD
1,12D10,8100-8199,11/21/2016,10,1,Auto Theft,Commercial Parking Lot or Garage,MONROE,-,RD
1,12D10,100-199,11/24/2016,15,1,Theft,Apartment,EDGEBROOK,E,DR
1,12D10,11300-11399,12/12/2016,12,1,Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,GULF,-,FWY
1,12D10,10400-10499,12/6/2016,19,1,Theft,Sporting Goods or Gun Shops,GULF,-,FWY
1,12D10,1400-1499,12/26/2016,15,1,Theft,Apartment Parking Lot,REDFORD,-,-
1,12D10,9800-9899,12/23/2016,09,1,Theft,Grocery Store or Supermarket Parking Lot,BLACKHAWK,-,BLVD
1,12D10,9100-9199,12/31/2016,21,1,Theft,Residence or House,GRANNIS,-,ST
2,12D10,8100-8199,12/30/2016,08,1,Auto Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,MONROE,-,RD
1,12D10,9300-9399,12/31/2016,00,1,Auto Theft,Residence or House,INTERVALE,-,ST
1,12D10,11000-11099,12/27/2016,08,1,Auto Theft,Residence or House,HEATHER TRAIL,-,DR
1,12D20,10600-10699,1/29/2017,14,1,Theft,Restaurant or Cafeteria Parking Lot,FUQUA,-,ST
1,12D20,11000-11099,1/28/2017,10,1,Theft,Driveway,CARIBBEAN,-,LN
1,12D20,12100-12199,1/27/2017,20,1,Theft,Department or Discount Store,BEAMER,-,RD
1,12D20,11200-11299,1/26/2017,15,1,Theft,Laundry or Dry Cleaners Parking Lot,FUQUA,-,ST
1,12D20,10900-10999,1/27/2017,00,1,Burglary,Apartment,BEAMER,-,RD
1,12D20,11800-11899,1/27/2017,10,1,Theft,Maintenance or Building Services,DICKINSON,-,RD
1,12D20,13100-13199,1/27/2017,09,1,Theft,Specialty Store (Non-Specific),GULF,-,FWY
2,12D20,11800-11899,1/22/2017,12,1,Theft,"Theatres, Dinner Theaters, Auditoriums",SAM HOUSTON,S,PKWY
1,12D20,11100-11199,1/22/2017,15,1,Auto Theft,Grocery Store or Supermarket Parking Lot,FUQUA,-,ST
1,12D20,12400-12499,1/21/2017,22,1,Theft,Restaurant or Cafeteria Parking Lot,GULF,-,FWY
1,12D20,12300-12399,1/21/2017,23,1,Theft,Restaurant or Cafeteria Parking Lot,GULF,-,FWY
1,12D20,11800-11899,1/23/2017,07,1,Theft,Apartment Parking Lot,GULF POINTE,-,DR
1,12D20,11700-11799,1/22/2017,22,1,Theft,Grocery Store or Supermarket Parking Lot,SAM HOUSTON,S,PKWY
1,12D20,11800-11899,1/23/2017,06,1,Theft,Garage or Carport,GULF POINTE,-,DR
1,12D20,11000-11099,1/23/2017,16,1,Theft,Grocery Store or Supermarket Parking Lot,FUQUA,-,ST
1,12D20,11700-11799,1/23/2017,17,1,Theft,Grocery Store or Supermarket Parking Lot,SAM HOUSTON,S,PKWY
1,12D20,10600-10699,1/23/2017,23,1,Auto Theft,Apartment Parking Lot,SABO,-,RD
1,12D20,10900-10999,1/24/2017,09,1,Theft,"Other, Unknown, or Not Listed",FUQUA,-,ST
1,12D20,10900-10999,1/24/2017,18,1,Theft,Strip Business Center Parking Lot,FUQUA,-,ST
1,12D20,11800-11899,1/25/2017,06,1,Theft,Department or Discount Store,DICKINSON,-,RD
1,12D20,12000-12099,1/25/2017,16,1,Burglary,Bar or Night Club,BEAMER,-,RD
1,12D20,10500-10599,1/30/2017,09,1,Theft,Residence or House,KIRKGLEN,-,DR
1,12D20,11600-11699,1/30/2017,06,1,Auto Theft,Residence or House,KIRKVALLEY,-,DR
1,12D20,11800-11899,1/29/2017,23,1,Auto Theft,Strip Business Center Parking Lot,SAM HOUSTON,S,PKWY
1,12D20,11700-11799,1/29/2017,19,1,Theft,Grocery Store or Supermarket,SAM HOUSTON,S,PKWY
1,12D20,11700-11799,1/30/2017,22,1,Theft,Grocery Store or Supermarket Parking Lot,SAM HOUSTON,S,PKWY
1,12D20,11700-11799,1/31/2017,09,1,Robbery,Bank,SAM HOUSTON,S,PKWY
1,12D20,9600-9699,1/31/2017,20,1,Burglary,Residence or House,FOREDALE,-,ST
1,12D20,11700-11799,1/31/2017,20,1,Theft,Grocery Store or Supermarket Parking Lot,SAM HOUSTON,S,PKWY
1,12D20,10600-10699,8/19/2016,18,1,Burglary,Miscellaneous Business (Non-Specific),FUQUA,-,ST
1,12D20,9400-9499,1/1/2017,08,1,Theft,Driveway,CARMALEE,-,-
1,12D20,12300-12399,1/1/2017,04,1,Theft,Sexually Oriented Club,GULF,-,FWY
1,12D20,10300-10399,1/2/2017,06,1,Auto Theft,"Road, Street, or Sidewalk",KIRKGLEN,-,DR
1,12D20,11100-11199,1/2/2017,16,1,Robbery,Apartment,BEAMER,-,RD
1,12D20,12800-12899,1/3/2017,22,1,Theft,Restaurant or Cafeteria Parking Lot,GULF,-,FWY
1,12D20,12000-12099,1/4/2017,15,1,Theft,Bar or Night Club,BEAMER,-,RD
1,12D20,11000-11099,1/4/2017,16,1,Theft,Convenience Store Parking Lot,SAM HOUSTON,S,PKWY
1,12D20,12300-12399,1/4/2017,04,1,Theft,Sexually Oriented Club,GULF,-,FWY
1,12D20,11800-11899,1/7/2017,22,1,Theft,Apartment Parking Lot,GULF POINTE,-,DR
1,12D20,10700-10799,1/8/2017,13,1,Theft,Apartment,SABO,-,RD
1,12D20,11800-11899,1/8/2017,17,1,Theft,Department or Discount Store,DICKINSON,-,RD
1,12D20,11900-11999,1/8/2017,18,1,Theft,Restaurant or Cafeteria,DICKINSON,-,RD
1,12D20,12000-12099,1/5/2017,02,1,Burglary,Apartment,SABO,-,RD
1,12D20,11100-11199,1/5/2017,08,1,Theft,Restaurant or Cafeteria,FUQUA,-,ST
1,12D20,11800-11899,1/5/2017,15,1,Theft,Strip Business Center Parking Lot,SAM HOUSTON,S,PKWY
1,12D20,11700-11799,1/5/2017,20,1,Theft,Miscellaneous Business (Non-Specific),SAM HOUSTON,S,PKWY
1,12D20,11500-11599,1/6/2017,17,1,Theft,Service or Gas Station,SAM HOUSTON,S,PKWY
1,12D20,11500-11599,1/11/2017,15,1,Theft,Service or Gas Station,SAM HOUSTON,S,PKWY
1,12D20,12300-12399,1/8/2017,23,1,Theft,Restaurant or Cafeteria Parking Lot,GULF,-,FWY
1,12D20,10700-10799,1/10/2017,08,1,Theft,Commercial Parking Lot or Garage,KINGSPOINT,-,RD
1,12D20,9800-9899,1/10/2017,15,1,Theft,Other Parking Lot,KINGSPOINT,-,RD
1,12D20,9600-9699,1/12/2017,08,1,Theft,"Road, Street, or Sidewalk",SAM HOUSTON,S,PKWY
1,12D20,12300-12399,1/11/2017,22,1,Auto Theft,Restaurant or Cafeteria Parking Lot,GULF,-,FWY
1,12D20,10900-10999,1/14/2017,07,1,Auto Theft,Apartment Parking Lot,BEAMER,-,RD
1,12D20,11800-11899,1/14/2017,21,1,Theft,Other Parking Lot,SAM HOUSTON,S,PKWY
1,12D20,11600-11699,1/14/2017,22,1,Robbery,Apartment Parking Lot,GULF POINTE,-,DR
1,12D20,12300-12399,1/14/2017,20,1,Theft,Restaurant or Cafeteria Parking Lot,GULF,-,FWY
1,12D20,10900-10999,1/15/2017,04,1,Robbery,Driveway,BAZIN,-,ST
1,12D20,11400-11499,1/18/2017,16,1,Auto Theft,Strip Business Center Parking Lot,FUQUA,-,ST
1,12D20,11800-11899,1/18/2017,20,1,Theft,Other Parking Lot,SAM HOUSTON,S,PKWY
1,12D20,10700-10799,1/17/2017,21,1,Robbery,Apartment Parking Lot,FUQUA,-,ST
1,12D20,11700-11799,1/18/2017,08,1,Theft,Grocery Store or Supermarket Parking Lot,SAM HOUSTON,S,PKWY
1,12D20,11600-11699,1/17/2017,15,1,Burglary,Apartment,GULF POINTE,-,DR
1,12D20,11700-11799,1/16/2017,18,1,Theft,Service or Gas Station,SAM HOUSTON,S,PKWY
1,12D20,11100-11199,1/15/2017,23,1,Robbery,,BEAMER,-,RD
1,12D20,10900-10999,1/15/2017,21,1,Theft,Apartment,BEAMER,-,RD
1,12D20,11500-11599,1/15/2017,21,1,Burglary,Garage or Carport,SABO,-,RD
1,12D20,12300-12399,1/21/2017,17,1,Auto Theft,"Gym, Recreat, Club House, Indoor Pool, Spa",GULF,-,FWY
1,12D20,12500-12599,1/21/2017,16,1,Auto Theft,Restaurant or Cafeteria Parking Lot,GULF,-,FWY
1,12D20,11900-11999,1/20/2017,15,1,Robbery,Residence or House,SAGEDOWNE,-,LN
1,12D20,12300-12399,1/20/2017,11,1,Theft,Miscellaneous Business (Non-Specific),GULF,-,FWY
1,12D20,11700-11799,1/20/2017,21,1,Theft,Grocery Store or Supermarket Parking Lot,SAM HOUSTON,S,PKWY
1,12D20,11500-11599,1/20/2017,20,1,Theft,Convenience Store,BEAMER,-,RD
1,12D20,10200-10299,1/20/2017,09,1,Theft,"Parks and Recreation, Zoo, Swimming Pool",KINGSPOINT,-,RD
1,12D20,10600-10699,1/20/2017,00,1,Robbery,"Road, Street, or Sidewalk",SABO,-,RD
1,12D20,9700-9799,1/19/2017,18,1,Robbery,Residence or House,KIRKFALLS,-,DR
1,12D20,11800-11899,1/19/2017,12,1,Burglary,Apartment,GULF POINTE,-,DR
1,12D20,11100-11199,1/19/2017,15,1,Burglary,Apartment,FUQUA,-,ST
1,12D20,10600-10699,12/29/2016,15,1,Burglary,Rental Storage Facility,FUQUA,-,ST
1,12D20,10100-10199,12/29/2016,08,1,Theft,"Other, Unknown, or Not Listed",SOUTHPORT,-,DR
1,12D20,12000-12099,12/25/2016,05,1,Theft,Apartment Parking Lot,SABO,-,RD
1,12D20,9800-9899,12/26/2016,11,1,Burglary,Residence or House,FONVILLE,-,DR
1,12D20,10900-10999,12/17/2016,08,1,Burglary,Residence or House,STOVER,-,ST
1,12D20,10700-10799,12/9/2016,14,1,Burglary,Apartment,SABO,-,RD
1,12D30,11900-11999,11/2/2016,14,1,Auto Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,GULF,-,FWY
1,12D30,13200-13299,1/31/2017,11,1,Theft,"Field, Woods, Forest, Park",SCARSDALE,-,BLVD
1,12D30,600-699,1/31/2017,14,1,Auto Theft,Auto Repair,GENOA RED BLUFF,-,RD
1,12D30,11700-11799,1/30/2017,00,1,Theft,Apartment Parking Lot,FUQUA,-,ST
1,12D30,12900-12999,1/25/2017,17,1,Theft,Other Parking Lot,GULF,-,FWY
1,12D30,12600-12699,1/25/2017,08,1,Theft,Commercial Parking Lot or Garage,FEATHERWOOD,N,DR
1,12D30,12600-12699,1/25/2017,11,1,Theft,Commercial Parking Lot or Garage,FEATHERWOOD,N,DR
1,12D30,12500-12599,1/24/2017,23,1,Theft,Restaurant or Cafeteria Parking Lot,GULF,-,FWY
1,12D30,12200-12299,1/24/2017,05,1,Theft,Driveway,DUMAS,-,ST
1,12D30,5100-5199,1/23/2017,17,1,Theft,Residence or House,ALLEN GENOA,-,RD
1,12D30,12300-12399,1/21/2017,22,1,Theft,Apartment Parking Lot,GULF,-,FWY
1,12D30,5100-5199,1/22/2017,07,1,Theft,Residence or House,ALLEN GENOA,-,RD
1,12D30,11500-11599,1/28/2017,01,1,Theft,Bar or Night Club Parking Lot,FUQUA,-,ST
1,12D30,12900-12999,1/10/2017,08,1,Burglary,Restaurant or Cafeteria,GULF,-,FWY
1,12D30,12800-12899,1/10/2017,00,1,Theft,Strip Business Center Parking Lot,GULF,-,FWY
1,12D30,12300-12399,1/9/2017,14,1,Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,GULF,-,FWY
1,12D30,12800-12899,1/10/2017,22,1,Theft,Strip Business Center Parking Lot,GULF,-,FWY
1,12D30,12500-12599,1/11/2017,08,1,Theft,Apartment Parking Lot,GREEN,S,DR
1,12D30,11800-11899,1/6/2017,07,1,Auto Theft,Residence or House,EAGLE ISLAND,-,LN
1,12D30,11500-11599,1/5/2017,22,1,Theft,Grocery Store or Supermarket Parking Lot,FUQUA,-,ST
1,12D30,13100-13199,1/5/2017,17,1,Theft,"Road, Street, or Sidewalk",GARLENDA,-,LN
1,12D30,12200-12299,1/8/2017,19,1,Theft,Driveway,PALM LAKE,S,DR
1,12D30,12900-12999,1/6/2017,23,1,Theft,Restaurant or Cafeteria Parking Lot,GULF,-,FWY
1,12D30,5300-5399,1/4/2017,10,1,Theft,"Field, Woods, Forest, Park",ALLEN GENOA,-,RD
1,12D30,12600-12699,1/4/2017,14,1,Auto Theft,"Other, Unknown, or Not Listed",GULF,-,FWY
1,12D30,12800-12899,1/3/2017,17,1,Auto Theft,Apartment Parking Lot,ROYDON,-,DR
1,12D30,12500-12599,1/21/2017,13,1,Theft,Apartment,GREEN,S,DR
1,12D30,4400-4499,1/15/2017,23,1,Burglary,,SHAVER,S,ST
1,12D30,11000-11099,1/15/2017,23,1,Theft,Residence or House,VIEW POINTE,-,LN
1,12D30,10600-10699,1/16/2017,04,1,Robbery,Apartment Parking Lot,SOUTHDOWN TRACE,-,TRL
1,12D30,11000-11099,1/16/2017,07,1,Theft,Driveway,VIEW POINTE,-,LN
1,12D30,13700-13799,1/16/2017,18,1,Auto Theft,"Road, Street, or Sidewalk",RURAL OAK,-,ST
1,12D30,5100-5199,1/14/2017,12,1,Theft,Other Parking Lot,ALLEN GENOA,-,RD
