Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H30,1300-1399,09/12/2017,13,1,Theft,1,Apartment Parking Lot,LIVE OAK,-,-
10H30,1300-1399,09/12/2017,16,1,Theft,1,Apartment Parking Lot,LIVE OAK,-,-
10H30,2600-2699,09/15/2017,16,1,Theft,1,"Other, Unknown, or Not Listed",CAPITOL ST,-,ST
10H30,100-199,09/16/2017,00,1,Theft,1,"Road, Street, or Sidewalk",ACACIA,-,-
10H30,2200-2299,09/16/2017,02,1,Theft,1,"Road, Street, or Sidewalk",BELL ST,-,ST
10H30,6500-6599,09/16/2017,02,1,Theft,1,"Road, Street, or Sidewalk",BROOKFIELD,-,DR
10H30,4200-4299,09/16/2017,11,1,Theft,1,"Road, Street, or Sidewalk",BARBERRY,-,-
10H30,1700-1799,09/17/2017,19,1,Theft,1,"Road, Street, or Sidewalk",ADEN MIST DR,-,-
10H30,1500-1599,09/17/2017,08,1,AutoTheft,1,"Road, Street, or Sidewalk",PALMER ST,-,ST
10H30,700-799,09/19/2017,07,1,Robbery,1,"Road, Street, or Sidewalk",LIVE OAK,-,-
10H30,15000-15099,09/21/2017,22,1,Theft,1,"Road, Street, or Sidewalk",GLENWATER,-,CT
10H30,1700-1799,09/22/2017,08,1,Theft,1,Residence or House,ADEN MIST DR,-,-
10H30,1300-1399,09/22/2017,09,1,Theft,1,Residence or House,PAIGE,-,-
10H30,1400-1499,09/23/2017,02,1,Robbery,1,"Road, Street, or Sidewalk",HUTCHINS ST,-,ST
10H30,700-799,09/23/2017,05,1,Theft,1,"Road, Street, or Sidewalk",PAIGE ST,-,ST
10H30,800-899,09/23/2017,08,1,Theft,2,"Road, Street, or Sidewalk",PAIGE,-,-
10H30,700-799,09/23/2017,10,1,Theft,1,"Road, Street, or Sidewalk",PAIGE ST,-,ST
10H30,3100-3199,09/23/2017,11,1,Theft,1,Residence or House,LEELAND,-,-
10H30,4700-4799,09/24/2017,01,1,Theft,1,"Road, Street, or Sidewalk",AVENUE H,-,-
10H30,1500-1599,09/24/2017,17,1,Theft,1,"Other, Unknown, or Not Listed",SAINT EMANUEL ST,-,ST
10H30,3500-3599,09/24/2017,21,1,Theft,1,"Other, Unknown, or Not Listed",GULF FWY IB,-,-
10H30,2300-2399,09/26/2017,10,1,Burglary,1,Warehouse,JEFFERSON ST,-,ST
10H30,1700-1799,09/26/2017,15,1,Theft,1,Residence or House,ADEN DR,-,-
10H30,UNK,09/27/2017,18,1,Theft,1,Service or Gas Station,GULF FWY IB/SCOTT OBIB,-,-
10H30,900-999,09/27/2017,21,1,Theft,1,"Road, Street, or Sidewalk",SAINT CHARLES,-,-
10H30,400-499,09/29/2017,14,1,Theft,1,"Road, Street, or Sidewalk",VELASCO,-,-
10H30,3400-3499,09/29/2017,01,1,Robbery,1,"Road, Street, or Sidewalk",GULF FWY IB,-,-
10H30,200-299,09/29/2017,21,1,Theft,1,"Road, Street, or Sidewalk",HUTCHINS ST,-,ST
10H30,300-399,09/29/2017,22,1,Theft,1,"Road, Street, or Sidewalk",JOYCE,-,ST
10H30,10200-10299,09/29/2017,22,1,Theft,1,"Road, Street, or Sidewalk",GLENWOOD,-,DR
10H30,3400-3499,09/30/2017,12,1,Theft,1,Bar or Night Club Parking Lot,APPLE ORCHARD,-,RD
10H30,1400-1499,09/30/2017,13,1,Theft,1,"Road, Street, or Sidewalk",DELANO,-,ST
10H30,1300-1399,09/30/2017,22,1,Robbery,1,Other Parking Lot,HUTCHINS ST,-,ST
10H30,1100-1199,09/30/2017,22,1,Robbery,1,"Road, Street, or Sidewalk",ST CHARLES,-,-
10H30,6400-6499,09/30/2017,22,1,Theft,1,Restaurant or Cafeteria,LARRYCREST,-,ST
10H30,1300-1399,09/30/2017,22,1,Theft,1,"Road, Street, or Sidewalk",ROBERTS ST,-,ST
10H40,2400-2499,09/01/2017,14,1,Burglary,1,Bar or Night Club,MAIN ST,-,ST
10H40,3600-3699,09/03/2017,22,1,Theft,1,"Road, Street, or Sidewalk",CHENEVERT ST,-,ST
10H40,1500-1599,09/03/2017,10,1,Theft,1,Apartment Parking Lot,ALABAMA ST,-,ST
