# Offenses,Beat,Block Range,Date,Hour,Number of Records,Offense Type,Premise,Street Name,Suffix,Type
1,5F40,9600-9699,3/5/2017,01,1,Theft,Apartment Parking Lot,GRANT,-,RD
1,5F40,12900-12999,3/5/2017,11,1,Theft,Convenience Store,WILLOW CHASE,-,DR
1,5F40,8200-8299,3/8/2017,07,1,Theft,"Road, Street, or Sidewalk",WILLOW PLACE,-,DR
1,5F40,13100-13199,3/8/2017,16,1,Robbery,"Other, Unknown, or Not Listed",WILLOW CHASE,-,DR
1,5F40,6900-6999,3/9/2017,11,1,Theft,Miscellaneous Business (Non-Specific),FM 1960,-,RD
1,5F40,7000-7099,3/10/2017,14,1,Theft,Restaurant or Cafeteria Parking Lot,FM 1960,W,RD
1,5F40,2000-2099,3/10/2017,18,1,Theft,Clothing Store,WILLOWBROOK MALL,-,-
1,5F40,2000-2099,3/23/2017,19,1,Theft,Mall Parking Lot,WILLOWBROOK MALL,-,-
1,5F40,7900-7999,3/23/2017,19,1,Theft,Clothing Store,FM 1960,W,RD
1,5F40,7700-7799,3/23/2017,09,1,Theft,"Other, Unknown, or Not Listed",WILLOW CHASE,-,BLVD
1,5F40,13500-13599,3/23/2017,13,1,Burglary,Apartment,BRETON RIDGE,-,ST
1,5F40,2000-2099,3/23/2017,14,1,Theft,Mall Common Area,WILLOWBROOK MALL,-,-
1,5F40,12300-12399,3/22/2017,10,1,Theft,Apartment Parking Lot,GESSNER,N,RD
1,5F40,17900-17999,3/22/2017,15,1,Theft,Commercial Parking Lot or Garage,TOMBALL,-,PKWY
1,5F40,17700-17799,3/22/2017,19,1,Theft,Restaurant or Cafeteria Parking Lot,TOMBALL,-,PKWY
1,5F40,7600-7699,3/22/2017,19,1,Theft,Sporting Goods or Gun Shops,FM 1960,W,RD
1,5F40,7700-7799,3/22/2017,20,1,Theft,Other Parking Lot,FM 1960,W,RD
1,5F40,7900-7999,3/22/2017,20,1,Theft,Jewelry Stores,FM 1960,-,RD
1,5F40,18200-18299,3/25/2017,07,1,Theft,Hospital Parking Lot,TOMBALL,-,PKWY
1,5F40,7900-7999,3/25/2017,17,1,Theft,Department or Discount Store,FM 1960,W,RD
1,5F40,2000-2099,3/25/2017,14,1,Theft,Miscellaneous Business (Non-Specific),WILLOWBROOK MALL,-,-
1,5F40,6800-6899,3/25/2017,14,1,Theft,Grocery Store or Supermarket,FM 1960,W,RD
1,5F40,7600-7699,3/24/2017,14,1,Theft,Commercial Parking Lot or Garage,FM 1960,-,RD
1,5F40,2000-2099,3/24/2017,17,1,Theft,Mall Parking Lot,WILLOWBROOK MALL,-,-
1,5F40,6800-6899,3/26/2017,20,1,Theft,Grocery Store or Supermarket,FM 1960,W,RD
1,5F40,8400-8499,3/26/2017,20,1,Theft,Vehicle/Auto Sales/Lease/Auto Parts Store,FM 1960,W,RD
1,5F40,7900-7999,3/26/2017,15,1,Theft,Clothing Store,FM 1960,W,RD
1,5F40,18200-18299,3/27/2017,20,1,Theft,Other Parking Lot,TOMBALL,-,PKWY
1,5F40,7000-7099,3/27/2017,21,1,Theft,Restaurant or Cafeteria Parking Lot,FM 1960,W,RD
1,5F40,7000-7099,3/29/2017,21,1,Theft,Restaurant or Cafeteria Parking Lot,FM 1960,W,RD
1,5F40,8500-8599,3/29/2017,22,1,Theft,Strip Business Center Parking Lot,MILLS,-,RD
1,5F40,7800-7899,3/29/2017,20,1,Theft,Restaurant or Cafeteria Parking Lot,WILLOW CHASE,-,BLVD
1,5F40,7100-7199,3/28/2017,20,1,Theft,"Other, Unknown, or Not Listed",FM 1960,W,RD
1,5F40,7700-7799,3/28/2017,20,1,Theft,Other Parking Lot,WILLOW CHASE,-,BLVD
1,5F40,8300-8399,3/28/2017,16,1,Theft,Apartment Parking Lot,WILLOW PLACE,-,DR
1,5F40,16900-16999,3/28/2017,03,1,Robbery,Convenience Store Parking Lot,TOMBALL,-,PKWY
1,5F40,13100-13199,3/27/2017,23,1,Robbery,Adult Book Store or Newsstand,WILLOW CHASE,-,DR
1,5F40,4000-4099,3/28/2017,07,1,Theft,Department or Discount Store,WILLOWBROOK MALL,-,-
1,5F40,9400-9499,3/28/2017,09,1,Theft,University or College,GRANT,-,RD
1,5F40,17600-17699,3/30/2017,18,1,Theft,Strip Business Center Parking Lot,TOMBALL,-,PKWY
1,5F40,7900-7999,3/30/2017,18,1,Theft,Department or Discount Store,FM 1960,W,RD
1,5F40,2000-2099,3/30/2017,17,1,Theft,Mall Parking Lot,WILLOWBROOK MALL,-,-
1,5F40,18200-18299,3/30/2017,15,1,Theft,Hospital Parking Lot,TOMBALL,-,PKWY
1,5F40,12400-12499,3/30/2017,10,1,Theft,Department or Discount Store,GESSNER,N,RD
1,5F40,7700-7799,3/31/2017,09,1,Theft,"Gym, Recreat, Club House, Indoor Pool, Spa",WILLOW CHASE,-,BLVD
1,5F40,17100-17199,3/31/2017,22,1,Theft,Restaurant or Cafeteria Parking Lot,TOMBALL,-,PKWY
1,6B10,6700-6799,3/20/2017,18,1,Theft,Grocery Store or Supermarket Parking Lot,AIRLINE,-,DR
1,6B10,7300-7399,3/20/2017,12,1,Theft,"Parks and Recreation, Zoo, Swimming Pool",NORTHLINE,-,DR
1,6B10,7600-7699,3/21/2017,09,1,Theft,Other Parking Lot,NORTH,-,FWY
1,6B10,7400-7499,3/21/2017,08,1,Theft,Grocery Store or Supermarket,AIRLINE,-,DR
1,6B10,400-499,3/20/2017,21,1,Burglary,Residence or House,ROSAMOND,-,-
1,6B10,UNK,3/21/2017,01,1,Auto Theft,Residence or House,LUETTA,-,-
1,6B10,7500-7599,3/19/2017,17,1,Auto Theft,Grocery Store or Supermarket Parking Lot,NORTH,-,FWY
1,6B10,11300-11399,3/19/2017,19,1,Theft,Driveway,BANNISTER,-,LN
1,6B10,6400-6499,3/21/2017,23,1,Robbery,Miscellaneous Business (Non-Specific),AIRLINE,-,DR
1,6B10,600-699,3/21/2017,11,1,Auto Theft,Apartment Parking Lot,LITTLE YORK,E,RD
1,6B10,11500-11599,3/21/2017,13,1,Burglary,Residence or House,COURTSHIRE,-,DR
1,6B10,5900-5999,3/21/2017,19,1,Auto Theft,Restaurant or Cafeteria Parking Lot,NORTH,-,FWY
1,6B10,100-199,3/14/2017,12,1,Burglary,Residence or House,WELLINGTON,-,ST
1,6B10,400-499,3/14/2017,21,1,Robbery,Grocery Store or Supermarket,LITTLE YORK,W,RD
1,6B10,1000-1099,3/13/2017,19,1,Theft,Other Parking Lot,CANINO,-,RD
1,6B10,7200-7299,3/13/2017,13,1,Theft,Nursing Home,NORTHLINE,-,DR
1,6B10,6600-6699,3/13/2017,10,1,Robbery,Convenience Store Parking Lot,AIRLINE,-,DR
