Date,Number of Records,Primary Type
5/9/2017 5:30:00 PM,1,MOTOR VEHICLE THEFT
5/9/2017 11:00:00 PM,1,MOTOR VEHICLE THEFT
5/10/2017 9:00:00 AM,1,MOTOR VEHICLE THEFT
5/10/2017 9:00:00 AM,1,MOTOR VEHICLE THEFT
5/11/2017 9:00:00 AM,1,MOTOR VEHICLE THEFT
5/11/2017 7:40:00 PM,1,MOTOR VEHICLE THEFT
5/12/2017 10:30:00 PM,1,MOTOR VEHICLE THEFT
5/19/2017 4:00:00 PM,1,MOTOR VEHICLE THEFT
5/20/2017 3:00:00 PM,1,MOTOR VEHICLE THEFT
5/22/2017 8:00:00 PM,1,MOTOR VEHICLE THEFT
5/23/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
5/24/2017 10:00:00 AM,1,MOTOR VEHICLE THEFT
5/25/2017 8:00:00 PM,1,MOTOR VEHICLE THEFT
5/25/2017 8:30:00 PM,1,MOTOR VEHICLE THEFT
5/26/2017 7:45:00 PM,1,MOTOR VEHICLE THEFT
6/2/2017 12:00:00 PM,1,MOTOR VEHICLE THEFT
6/2/2017 4:00:00 PM,1,MOTOR VEHICLE THEFT
6/3/2017 4:30:00 AM,1,MOTOR VEHICLE THEFT
6/4/2017 12:05:00 AM,1,MOTOR VEHICLE THEFT
6/4/2017 7:00:00 PM,1,MOTOR VEHICLE THEFT
6/5/2017 5:00:00 PM,1,MOTOR VEHICLE THEFT
6/5/2017 7:18:00 PM,1,MOTOR VEHICLE THEFT
6/6/2017 1:00:00 PM,1,MOTOR VEHICLE THEFT
6/6/2017 11:00:00 PM,1,MOTOR VEHICLE THEFT
6/7/2017 3:00:00 PM,1,MOTOR VEHICLE THEFT
6/9/2017 5:30:00 PM,1,MOTOR VEHICLE THEFT
6/9/2017 6:00:00 PM,1,MOTOR VEHICLE THEFT
6/12/2017 1:34:00 AM,1,MOTOR VEHICLE THEFT
6/13/2017 12:01:00 AM,1,MOTOR VEHICLE THEFT
6/14/2017 3:30:00 PM,1,MOTOR VEHICLE THEFT
