Beat,Block Range,Date,Hour,Number of Records,Offense Type,Offenses,Premise,Street Name,Suffix,Type
10H30,2100-2199,05/01/2017,20,1,AutoTheft,1,Commercial Parking Lot or Garage,CAPITOL ST,-,ST
10H30,4300-4399,05/01/2017,23,1,Theft,1,"Road, Street, or Sidewalk",GOLDENROD,-,LN
10H30,2900-2999,05/04/2017,07,1,AutoTheft,1,Other Parking Lot,LAMAR,-,-
10H30,1000-1099,05/04/2017,23,1,Theft,1,Other Parking Lot,SAINT EMANUEL ST,-,ST
10H30,16000-16099,05/06/2017,00,1,Theft,1,"Road, Street, or Sidewalk",BRIMFIELD,-,DR
10H30,5600-5699,05/06/2017,07,1,Theft,1,"Road, Street, or Sidewalk",MAGAZINE,S,CIR
10H30,2000-2099,05/06/2017,16,1,Theft,1,"Road, Street, or Sidewalk",BELL ST,-,ST
10H30,2100-2199,05/07/2017,08,1,AutoTheft,1,"Road, Street, or Sidewalk",LAMAR,-,-
10H30,6100-6199,05/07/2017,23,1,Theft,1,"Road, Street, or Sidewalk",FOSTER,-,ST
10H30,1700-1799,05/08/2017,14,1,Theft,1,Residence or House,ADEN MIST DRIVE,-,-
10H30,1300-1399,05/11/2017,09,1,Theft,1,"Road, Street, or Sidewalk",PAIGE,-,-
10H30,2200-2299,05/11/2017,13,1,Theft,1,Commercial Parking Lot or Garage,MCKINNEY ST,-,ST
10H30,600-699,05/11/2017,18,1,Theft,1,Commercial Parking Lot or Garage,SAINT EMANUEL ST,-,ST
10H30,2000-2099,05/11/2017,21,1,Theft,1,Apartment Parking Lot,TEXAS ST,-,ST
10H30,2000-2099,05/11/2017,21,1,Theft,1,"Road, Street, or Sidewalk",BELL ST,-,ST
10H30,2100-2199,05/12/2017,02,1,Theft,1,Commercial Parking Lot or Garage,CAPITOL ST,-,ST
10H30,2400-2499,05/13/2017,07,1,Burglary,1,Apartment,CAPITOL ST,-,ST
10H30,20300-20399,05/13/2017,02,1,Theft,1,"Road, Street, or Sidewalk",CLYDESDALE RIDGE,-,DR
10H30,2200-2299,05/14/2017,16,1,Theft,1,"Road, Street, or Sidewalk",LEELAND,-,-
10H30,2200-2299,05/15/2017,09,1,Theft,1,Bar or Night Club,DALLAS ST,-,ST
10H30,3500-3599,05/15/2017,09,1,Theft,1,Construction Site,COYLE ST,-,ST
10H30,2400-2499,05/15/2017,14,1,Theft,1,Light Rail (Metro Rail) Vehicle,TEXAS ST,-,ST
